day	penalty
1	2.4
5	2.4
17	2.4
18	2.4
46	2.4
59	2.4
75	2.4
81	2.4
88	2.4
3	2.392
11	2.392
19	2.392
4	2.384
33	2.384
39	2.384
40	2.384
47	2.384
12	2.376
31	2.376
32	2.376
60	2.376
96	2.376
24	2.368
25	2.368
45	2.368
53	2.368
66	2.368
54	2.36
67	2.36
73	2.36
87	2.36
26	2.352
52	2.352
10	2.344
38	2.344
89	2.344
68	2.328
94	2.272
95	2.264
61	2.248
82	2.12
80	2.04
27	1.896
74	1.88
29	1.776
14	1.752
16	1.744
2	1.608
15	1.52
23	1.472
7	1.456
9	1.392
8	1.384
58	1.384
13	1.352
28	1.32
22	1.312
48	1.296
49	1.288
20	1.264
51	1.24
21	1.232
43	1.184
41	1.152
44	1.128
35	1.12
36	1.12
6	1.104
30	1.104
37	1.08
42	1.08
84	1.056
34	1.04
83	1.04
56	1.032
57	1.032
76	1.032
64	1.024
85	1.024
86	1.024
91	1.024
62	1.016
65	1.016
70	1.016
72	1.016
78	1.016
93	1.016
97	1.016
50	1.008
63	1.008
69	1.008
71	1.008
77	1.008
79	1.008
90	1.008
92	1.008
99	1.008
100	1.008
55	1.0
98	1.0
