family_id|choice_0|choice_1|choice_2|choice_3|choice_4|choice_5|choice_6|choice_7|choice_8|choice_9|n_people|assigned_day|assigned_choice
0|8|4|10|1|5|10|9|7|5|6|4|8|choice_0
1|5|3|8|5|3|3|5|9|9|9|4|5|choice_0
2|5|2|2|3|8|5|8|7|2|9|3|5|choice_0
3|9|9|10|3|4|6|5|10|7|6|2|9|choice_0
4|10|7|10|1|8|9|10|6|10|1|4|10|choice_0
5|7|7|1|3|10|4|2|1|10|5|4|7|choice_0
6|2|4|6|2|1|1|4|9|6|8|2|2|choice_0
7|8|1|8|1|9|9|3|7|4|1|5|8|choice_0
8|6|1|3|10|7|1|4|6|1|3|4|6|choice_0
9|7|3|1|7|10|3|4|5|5|5|7|7|choice_0
10|4|5|5|1|9|1|8|9|1|3|7|4|choice_0
11|3|9|8|7|5|2|10|6|4|5|7|3|choice_0
12|7|1|2|2|9|7|1|3|5|4|6|7|choice_0
13|6|9|7|7|2|1|2|6|8|2|2|6|choice_0
14|3|9|10|9|5|1|4|4|5|6|2|3|choice_0
15|7|2|3|8|10|2|4|10|5|8|2|7|choice_0
16|5|9|5|3|8|2|7|9|7|9|3|5|choice_0
17|2|5|2|2|1|4|2|5|8|4|4|2|choice_0
18|4|10|9|9|8|4|4|8|3|5|3|4|choice_0
19|5|1|3|6|1|1|5|10|8|8|2|5|choice_0
20|2|1|3|3|5|9|5|10|7|1|6|2|choice_0
21|10|7|2|2|3|8|10|3|2|9|5|10|choice_0
22|9|4|1|7|10|7|3|5|10|8|6|9|choice_0
23|8|6|5|7|9|9|5|7|3|2|3|8|choice_0
24|6|3|2|6|3|10|7|5|5|10|6|6|choice_0
25|10|9|3|6|9|7|8|4|6|5|3|10|choice_0
26|1|6|7|6|7|2|1|9|9|4|2|1|choice_0
27|9|1|1|6|9|4|3|8|1|2|4|9|choice_0
28|3|8|3|2|4|8|10|3|8|2|5|3|choice_0
29|10|3|7|9|2|9|7|6|7|3|4|10|choice_0
30|8|7|1|2|8|9|8|2|2|4|3|8|choice_0
31|6|8|7|10|3|9|6|9|8|4|3|6|choice_0
32|1|3|2|3|2|9|9|4|3|9|3|1|choice_0
33|6|4|2|7|2|7|1|7|2|5|3|6|choice_0
34|8|6|6|7|4|8|3|10|9|6|3|8|choice_0
35|4|10|3|8|6|1|4|2|7|10|3|4|choice_0
36|5|6|9|8|10|8|6|9|8|1|6|5|choice_0
37|10|9|2|4|3|1|4|3|6|3|2|10|choice_0
38|1|5|1|6|4|8|2|10|1|1|5|1|choice_0
39|9|6|4|4|5|3|10|2|5|6|4|9|choice_0
40|3|3|2|3|6|5|3|5|5|7|6|3|choice_0
41|5|3|3|4|10|5|9|6|6|2|8|5|choice_0
42|4|2|6|1|1|5|9|10|4|9|8|4|choice_0
43|7|8|4|7|9|5|8|6|9|9|2|7|choice_0
44|7|1|9|3|1|5|3|4|3|10|2|7|choice_0
45|1|7|6|1|5|5|9|10|3|3|4|1|choice_0
46|4|8|7|7|5|2|4|3|7|10|3|4|choice_0
47|7|3|8|3|8|4|8|1|1|5|4|7|choice_0
48|3|1|8|8|1|10|8|9|1|10|4|3|choice_0
49|1|4|4|7|5|3|9|3|3|4|2|1|choice_0
50|1|7|7|9|10|1|7|4|9|1|6|1|choice_0
51|4|9|2|1|5|3|3|9|8|3|2|4|choice_0
52|10|7|3|3|8|4|1|3|8|7|2|10|choice_0
53|10|3|4|8|6|5|8|7|3|7|4|10|choice_0
54|9|2|7|8|8|5|1|8|2|9|3|9|choice_0
55|4|6|2|9|3|4|10|7|1|2|3|4|choice_0
56|5|10|3|5|9|4|5|5|8|8|5|5|choice_0
57|4|6|5|9|5|8|10|5|3|8|4|4|choice_0
58|4|7|4|8|4|4|7|7|10|10|4|4|choice_0
59|10|10|10|8|4|5|1|8|4|5|4|10|choice_0
60|9|7|2|6|10|8|2|4|10|2|2|9|choice_0
61|5|1|5|9|10|5|2|2|9|10|4|5|choice_0
62|3|10|9|8|8|10|2|3|1|2|6|3|choice_0
63|9|10|4|6|4|1|4|8|6|7|5|9|choice_0
64|2|4|6|5|10|3|3|9|5|10|3|2|choice_0
65|10|8|6|6|5|7|10|9|1|7|5|10|choice_0
66|6|5|8|1|6|8|7|2|8|9|8|6|choice_0
67|1|3|1|7|10|2|4|7|5|9|5|1|choice_0
68|1|5|3|7|9|1|3|2|3|7|7|1|choice_0
69|3|5|4|2|7|4|9|1|3|4|4|3|choice_0
70|8|7|1|4|3|9|8|7|7|9|3|8|choice_0
71|2|9|7|2|7|8|1|10|1|6|4|2|choice_0
72|1|2|10|7|3|4|9|5|6|2|3|1|choice_0
73|3|6|7|4|4|9|1|2|5|1|3|3|choice_0
74|1|9|10|7|6|9|8|1|10|4|4|1|choice_0
